n_estimators,criterion,max_depth,test_score,train_score,fit_time
39,mse,4,0.8402949042043535,0.8954949133070411,[0.09882593 0.09796405 0.09714508 0.09443998 0.09630275]
39,mse,5,0.8524452311753209,0.9145003919256788,[0.10848784 0.10869503 0.1081531  0.10755205 0.10602784]
39,mae,2,0.7387241908781522,0.763133343965697,[0.60873008 0.58126116 0.59872603 0.57121301 0.57868886]
39,mae,3,0.8076598612546718,0.8429665888589566,[0.8106451  0.80117488 0.77360511 0.76327896 0.76563907]
39,mae,4,0.8376754067775837,0.8922156278610729,[0.96996999 0.97239709 0.923172   0.936553   0.91047788]
39,mae,5,0.851468031574379,0.915789752959046,[1.08862901 1.08871198 1.04584813 1.06481481 1.03958082]
40,mse,2,0.7680187442105537,0.8037302349272124,[0.07168984 0.07009268 0.07120514 0.07019424 0.07045293]
40,mse,3,0.81208623242522,0.8631583626342479,[0.08673906 0.084481   0.08259201 0.08271313 0.08357   ]
40,mse,4,0.8402303435352408,0.8953735387215909,[0.09848499 0.09999323 0.09691405 0.09820294 0.09717393]
40,mse,5,0.8523312212772151,0.9142956544832062,[0.10915399 0.11070514 0.10928917 0.11505413 0.11608887]
40,mae,2,0.7396939525393076,0.7642259437743063,[0.63820696 0.62034726 0.666996   0.65491104 0.62227798]
40,mae,3,0.8075988655474442,0.8431492426274805,[0.86619806 0.8545301  0.80214334 0.80928206 0.79812098]
40,mae,4,0.8372074836648091,0.8920256479980564,[1.0368619  1.17649198 1.03902888 1.05682826 0.9890759 ]
40,mae,5,0.8513323782289485,0.9157809669509059,[1.129457   1.13685393 1.06078005 1.07936096 1.04864192]
41,mse,2,0.7683492739245461,0.8036137005893403,[0.0889101  0.07723999 0.0758009  0.07797003 0.07963395]
41,mse,3,0.8117950737762275,0.8627983831399744,[0.0940187  0.09781814 0.09134078 0.09411359 0.08849216]
41,mse,4,0.8397773052187009,0.8952586117280437,[0.10551023 0.10243106 0.10008121 0.10913801 0.10505795]
41,mse,5,0.8517717468608413,0.914190553518868,[0.11252189 0.11851382 0.11407375 0.11142111 0.11180902]
41,mae,2,0.7389506552076904,0.7633043435995613,[0.65756488 0.63009405 0.62128901 0.59909511 0.60794091]
41,mae,3,0.8070155049520762,0.8426539316337063,[0.87348723 0.86647105 0.83217406 0.82063389 0.86704683]
41,mae,4,0.8370376098291358,0.8915388856234374,[1.04709911 1.0291121  0.97901273 0.98514581 0.98432493]
